"","rising.gcc_value","rising.transition_10","rising.transition_25","rising.transition_50","rising.transition_10_lower_ci","rising.transition_25_lower_ci","rising.transition_50_lower_ci","rising.transition_10_upper_ci","rising.transition_25_upper_ci","rising.transition_50_upper_ci","rising.threshold_10","rising.threshold_25","rising.threshold_50","rising.min_gcc","rising.max_gcc","falling.gcc_value","falling.transition_10","falling.transition_25","falling.transition_50","falling.transition_10_lower_ci","falling.transition_25_lower_ci","falling.transition_50_lower_ci","falling.transition_10_upper_ci","falling.transition_25_upper_ci","falling.transition_50_upper_ci","falling.threshold_10","falling.threshold_25","falling.threshold_50","falling.min_gcc","falling.max_gcc"
"2","gcc_90",17637,17643,17650,17635,17642,17648,17639,17645,17651,0.32449,0.34001,0.37549,0.31421,0.4239,"gcc_90",18205,18198,18187,18206,18200,18190,18202,18196,18185,0.33598,0.34841,0.36954,0.3299,0.40625
"3","gcc_90",17992,17997,18002,17991,17996,18001,17994,17999,18003,0.32175,0.33872,0.36889,0.31312,0.42392,"gcc_90",17839,17833,17821,17840,17835,17824,17837,17831,17819,0.31832,0.33533,0.36138,0.30981,0.41198
"4","gcc_90",18352,18358,18366,18350,18357,18364,18355,18360,18367,0.32608,0.33922,0.36467,0.31835,0.40499,"gcc_90",17480,17473,17456,17482,17475,17462,17477,17471,17441,0.32355,0.33726,0.36121,0.31506,0.40666
"6","gcc_75",17637,17643,17650,17635,17642,17648,17639,17645,17651,0.32325,0.33808,0.37155,0.31332,0.42075,"gcc_75",18204,18197,18185,18206,18199,18188,18202,18195,18183,0.33615,0.34709,0.36712,0.32868,0.4037
"7","gcc_75",17993,17997,18003,17992,17996,18001,17995,17999,18004,0.32257,0.33617,0.37113,0.31221,0.42,"gcc_75",17839,17833,17821,17840,17834,17823,17837,17831,17819,0.31659,0.33308,0.35909,0.30925,0.40893
"8","gcc_75",18352,18358,18366,18350,18357,18364,18355,18360,18367,0.32472,0.33692,0.35974,0.31758,0.39968,"gcc_75",17476,17469,17458,17477,17471,17462,17473,17467,17441,0.32926,0.34286,0.36387,0.3225,0.40395
"10","gcc_50",17639,17644,17650,17637,17643,17649,17641,17646,17651,0.32294,0.336,0.36569,0.31246,0.4177,"gcc_50",18203,18196,18183,18204,18198,18185,18200,18193,18181,0.33576,0.34641,0.36531,0.32966,0.40071
"11","gcc_50",17993,17998,18003,17992,17997,18002,17995,17999,18004,0.32042,0.33677,0.36461,0.31136,0.41537,"gcc_50",17838,17833,17820,17839,17834,17823,17836,17831,17818,0.31765,0.33096,0.35752,0.30793,0.40533
"12","gcc_50",18353,18358,18367,18350,18357,18365,18355,18360,18368,0.32418,0.33429,0.35839,0.31663,0.39466,"gcc_50",17474,17468,17447,17476,17470,17462,17472,17465,17441,0.33106,0.34194,0.36275,0.32352,0.40069
"13","gcc_mean",17638,17644,17650,17636,17643,17649,17640,17646,17651,0.32223,0.33713,0.36561,0.31236,0.41603,"gcc_mean",18205,18198,18185,18206,18200,18188,18202,18196,18183,0.33231,0.34386,0.36343,0.3263,0.39885
"14","gcc_mean",17993,17997,18003,17992,17996,18001,17995,17999,18004,0.32038,0.33269,0.36557,0.31059,0.4146,"gcc_mean",17839,17833,17821,17840,17834,17824,17837,17831,17819,0.31468,0.33065,0.35621,0.3069,0.40408
"15","gcc_mean",18352,18358,18366,18350,18357,18364,18355,18360,18367,0.32338,0.33492,0.35664,0.3164,0.39475,"gcc_mean",17476,17470,17453,17477,17471,17462,17473,17467,17441,0.32738,0.33897,0.36083,0.3206,0.39939
